"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Newfoundland and Labrador","2016A000210","Architecture","Current dollars","75","units","0","v1073542409","2.10","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Architecture","Current dollars","75","units","0","v1073542409","2.10","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Architecture","Current dollars","75","units","0","v1073542409","2.10","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Architecture","Current dollars","75","units","0","v1073542409","2.10","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","8800","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","11460","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","11460","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","11460","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","15960","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","16590","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","17265","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
