"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010/2011","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","20457","","","","0"
"2011/2012","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","21275","","","","0"
"2012/2013","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","21701","","","","0"
"2013/2014","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","22135","","","","0"
"2014/2015","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","22578","","","","0"
"2015/2016","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","23649","","","","0"
"2016/2017","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","25882","","","","0"
"2017/2018","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","29237","","","","0"
"2018/2019","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","31318","","","","0"
"2019/2020","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","32599","","","","0"
"2020/2021","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","32399","","","","0"
"2021/2022","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","35656","","","","0"
"2022/2023","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","40174","","","","0"
"2023/2024","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","42900","","","","0"
"2024/2025","British Columbia","2016A000259","Architecture","Current dollars","75","units","0","v62427484","11.10","45035","","","","0"
"2006/2007","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","14239","","","","0"
"2007/2008","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","15671","","","","0"
"2008/2009","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","15463","","","","0"
"2009/2010","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","19178","","","","0"
"2010/2011","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","19883","","","","0"
"2011/2012","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","20954","","","","0"
"2012/2013","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","19590","","","","0"
"2013/2014","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","20708","","","","0"
"2014/2015","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","20893","","","","0"
"2015/2016","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","23144","","","","0"
"2016/2017","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","26373","","","","0"
"2017/2018","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","28339","","","","0"
"2018/2019","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","29878","","","","0"
"2019/2020","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","31251","","","","0"
"2020/2021","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","32446","","","","0"
"2021/2022","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","36235","","","","0"
"2022/2023","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","38186","","","","0"
"2023/2024","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","41085","","","","0"
"2024/2025","British Columbia","2016A000259","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427485","11.11","43154","","","","0"
"2018/2019","British Columbia","2016A000259","Dentistry","Current dollars","75","units","0","v1073542435","11.12","","..","","","0"
"2019/2020","British Columbia","2016A000259","Dentistry","Current dollars","75","units","0","v1073542435","11.12","69272","","","","0"
"2020/2021","British Columbia","2016A000259","Dentistry","Current dollars","75","units","0","v1073542435","11.12","71697","","","","0"
"2021/2022","British Columbia","2016A000259","Dentistry","Current dollars","75","units","0","v1073542435","11.12","73851","","","","0"
"2022/2023","British Columbia","2016A000259","Dentistry","Current dollars","75","units","0","v1073542435","11.12","76078","","","","0"
